SNo,doc_name,doc_description,doc_purpose
1,"Industrial License","A valid license issued by DPIIT under the ID&R Act 1951 for BR Jacket production","To legally verify the bidder is authorized by the Government of India to manufacture defense equipment"
2,"EMD Proof","Proof of deposit for the Earnest Money Deposit of Rs. 2,75,00,000","To ensure the bidder is serious and to protect the buyer against bid withdrawal"
3,"Ballistic Test Reports","Official lab reports proving BIS Level-6 protection for Front, Back, and Side panels","To provide scientific evidence that the jackets meet the life-saving safety standards required"
4,"Technical Compliance","A point-by-point response to the GSQR, including camouflage and size details","To confirm the offered product exactly matches the CRPF's technical and design specifications"
5,"Annual Turnover Certificate","CA-audited certificate showing 500L (Bidder) or 1000L (OEM) average turnover","To verify the firm has the financial depth to handle a high-value industrial contract"
6,"Past Performance Records","Evidence of supplying 30% of bid quantity (Level-5 or above) in the last 3 years","To prove the bidder has successfully executed similar large-scale orders in the past"
7,"OEM Authorization","A formal certificate from the manufacturer authorizing the bidder to sell their products","To ensure the bidder has a direct, legitimate supply chain from the original manufacturer"
8,"PAN and TIN Certificates","Official government-issued tax registration cards and certificates","To establish the legal and fiscal identity of the bidding entity for tax compliance"
9,"Proof of Experience","Documentation showing at least 2 years of operations in the relevant industry","To filter for established players with a proven track record in the ballistic industry"
10,"Additional Docs (ATC)","Any specific certificates or affidavits requested in the Additional Terms and Conditions","To address unique local or administrative requirements specific to the GeM portal"
